#,Friends?,Sheath (t0),Sh/FR mix (t1),FR Start (t2),FR End (t3),Leg End (t4),Mixed End (t5),u0,u1,u2,u3,u4,u5,Enh?,HSS?,HSScat,Data Gap?,Comments
38,-,1997-08-17T01:56,1997-08-17T04:50,1997-08-17T05:35,1997-08-17T17:26,-,1997-08-17T19:33,2,-,2,-,3,2,N,N,X,A,Not clear why other cats say that is sheath start. Weak case.
39,-,1997-09-03T08:38,,1997-09-03T13:26,1997-09-03T20:41,-,-,2,-,2,1,-,-,N,Y,GX,A,HSS behind. Not sure on sheath. Might be embedded in HSS/behind SIR?
40,-,1997-09-18T00:30,,1997-09-18T04:07,1997-09-19T03:32,-,-,1,-,1,2,-,3,N,N,X,A,Turbulent and big but weak. Could have little FR right behind?
41,-,1997-09-21T16:51,1997-09-21T22:21,1997-09-22T01:30,1997-09-22T12:20,-,1997-09-22T17:46,2,-,1,2,-,2,N,N,X,A,Sheath hard to interpret. Extra bit could be leg? Pretty smooth.
42,-,1997-10-01T01:41,,1997-10-01T17:00,1997-10-02T23:00,-,-,1,-,2,1,-,-,N,N?,X,AW,Data gaps mean only B on front side. V a little high after. could be tail of HSS? Or not.
43,-,1997-10-10T16:12,,1997-10-10T22:00,1997-10-11T14:33,-,1997-10-12T02:18,3,-,1,3,-,2,N,N,X,A,RC says 2 FR but don't see first one (in sheath). Super messy in sheath. Multiple features.
44,-,1997-10-27T01:38,,1997-10-27T10:35,1997-10-28T04:57,-,-,3,-,2,2,-,-,N,N,X,A,Weak case. Hard to say much with confidence
45,-,1997-11-06T22:25,,1997-11-07T06:00,1997-11-08T05:56,1997-11-08T14:26,1997-11-08T19:23,1,-,2,3,-,3,N,N,X,-,Lots of bends in FR. Not certain how to split. Lepping has as two FR.
46,47,1997-11-22T09:12,,1997-11-22T18:51,1997-11-23T12:50,-,1997-11-23T19:00,0,-,1,2,-,2,N,N,X,-,Interacting with next case?
47,46,1997-11-23T12:50,,1997-11-24T06:51,1997-11-25T00:00,-,1997-11-25T07:53,1,-,2,2,-,3,N,N,-,-,Interacting with prev case? 
48,49,1997-12-10T04:33,,1997-12-10T18:39,1997-12-11T10:14,-,1997-12-11T13:15,0,-,1,2,-,2,N,N,X,-,Interacting with next case?
49,48,1997-12-11T10:14,,1997-12-11T13:15,1997-12-11T23:52,-,-,2,-,2,1,-,-,N,N,-,-,Weak case but probably a thing. Interacting with prev?
50,-,1997-12-30T01:13,,1997-12-30T09:35,1997-12-30T17:18,1997-12-31T06:45,1997-12-31T08:51,1,-,2,3,3,3,N,N,X,A,Turbulent but think ID'ed all the features.
51,52,1998-01-06T13:29,1998-01-06T22:50,1998-01-07T02:23,1998-01-08T07:28,-,1998-01-08T15:49,1,-,1,2,-,2,N,N,X,W,Some gaps in Wind data. Interacting with next?
52,51,-,,1998-01-08T15:49,1998-01-08T21:11,-,1998-01-08T23:58,-,-,1,2,-,3,N,N,X,-,Interacting with prev case? Small but smooth. Too far from next case for interaction?
53,-,-,,1998-01-09T08:23,1998-01-09T20:38,-,-,-,-,3,3,-,-,N,N,-,-,Weak but probably a thing
54,55,1998-01-20T07:08,,1998-01-20T17:43,1998-01-21T04:00,-,-,3,-,2,2,-,-,N,N,X,-,Think is separate from next case
55,54,1998-01-21T04:00,,1998-01-21T07:00,1998-01-22T01:06,-,1998-01-22T10:50,2,-,2,3,-,2,N,N,-,-,Attempted to split complicated FR. Could be leg?
56,-,1998-01-28T16:00,1998-01-29T13:12,1998-01-29T20:00,1998-01-30T06:24,1998-01-30T23:08,1998-01-31T02:08,0,-,3,1,-,2,N,N,-,-,Sheath/FR split could be one of several points. Or mini FR in sheath.
57,-,-,,1998-02-02T13:13,1998-02-03T12:38,-,1998-02-04T00:00,3,-,3,3,-,3,N,N,X,-,FR is all leg? If a thing at all. Mixed or second FR until next case? 
58,-,1998-02-04T00:00,,1998-02-04T04:48,1998-02-05T22:30,-,1998-02-06T08:04,1,-,1,3,2,2,N,N,X,-,Attempted to split long FR to include leg
59,-,1998-02-17T06:28,,1998-02-17T10:00,1998-02-17T20:39,-,1998-02-18T03:34,2,-,1,2,-,2,N,N,-,-,Weak sheath. Think too far to interact with next case?
60,-,1998-02-18T07:50,1998-02-18T14:52,1998-02-18T21:35,1998-02-19T04:54,1998-02-20T00:29,-,2,-,3,3,2,-,N,N,X,-,Sheath/FR hard to distinguish. Think has leg encounter?
61,-,1998-03-04T11:02,,1998-03-04T14:38,1998-03-05T20:29,-,1998-03-06T07:10,1,-,1,2,-,3,N,N,X,-,Fairly straightforward case

62,-,1998-03-06T11:59,1998-03-06T17:46,1998-03-06T22:16,1998-03-07T09:36,-,1998-03-07T16:48,3,-,2,2,-,3,N,N,-,-,Weak case. Sheath guess based on T. Fairly smooth B rot.

63,-,1998-03-25T10:48,,1998-03-25T16:12,1998-03-26T03:00,-,1998-03-26T09:11,2,-,1,3,-,1,Y?,N?,-,-,Guessing on mixed split. N is elevated in FR and v slightly high behind but not super fast

64,65,1998-03-30T22:00,,1998-03-31T11:59,1998-04-01T17:40,-,-,2,-,1,1,-,-,M?,N,-,-,Kink in FR profile? Interact with next case.

65,64,1998-04-01T17:40,,1998-04-01T21:07,1998-04-02T11:48,-,1998-04-02T16:41,2,-,3,2,3,-,N,N,-,-,Weak case. Interacting with prev case?

66,-,-,,1998-04-11T23:00,1998-04-13T03:59,-,-,-,-,3,3,-,-,N,N,X,-,Very turbulent and weak. Smoothish B rot only in middle of FR? Mixed on both sides?

67,69,1998-05-01T21:21,,1998-05-02T11:49,1998-05-03T16:47,-,1998-05-04T02:21,1,-,2,2,-,3,N?,N,X,-,Enh in Wind n only? Think mixed extends to next (real) case

68,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Don't think that this is a thing.

69,67; 70,1998-05-04T02:21,,1998-05-04T09:50,1998-05-04T21:24,-,1998-05-05T05:06,0,-,1,2,-,2,N,N,X,-,Strong sheath. Interacts with prev (real) and next case

70,69,1998-05-05T05:06,,1998-05-05T07:03,1998-05-06T02:31,1998-05-07T10:56,1998-05-07T22:49,2,-,2,3,3,3,N,N,X,~W,Mini Wind gap. Has leg? Interacts with prev case

71,-,1998-06-02T08:00,,1998-06-02T10:28,1998-06-02T16:43,-,1998-06-02T19:00,2,-,1,2,-,2,N,N,X,-,Weak sheath. Smooth FR front

72,-,1998-06-13T19:25,,1998-06-14T02:21,1998-06-14T23:21,-,1998-06-15T03:09,0,-,1,2,-,2,N,N,X,-,Back half of FR fairly turbulent

73,75,1998-06-24T10:00,,1998-06-24T13:26,1998-06-25T16:03,-,1998-06-25T23:28,3,-,3,1,-,-,N,N,X,-,Mixed region starts at shock from next (real) case.

74,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,X,-,Don't think this is a thing just part of 74

75,73,1998-06-25T16:03,,1998-06-25T23:28,1998-06-26T07:48,1998-06-26T19:39,-,0,-,2,3,2,-,M?,N,-,-,Enh in leg? Has leg?

76,77,1998-07-05T03:15,,1998-07-06T08:22,1998-07-07T14:06,-,-,3,-,2,1,-,-,N,N,X,-,Not confident in huge messy sheath.

77,76,1998-07-07T14:06,,1998-07-07T15:20,1998-07-09T05:56,-,-,3,-,3,3,-,-,N,N,-,-,Not confident is thing at all. Sheath based on T.

78,-,1998-07-10T23:00,,1998-07-11T15:27,1998-07-12T06:01,1998-07-12T17:20,1998-07-12T22:39,2,-,2,3,3,2,N,N,X,-,Messy but structured within FR. Guessed on splitting

79,-,1998-08-01T08:20,,1998-08-01T15:38,1998-08-02T07:42,1998-08-03T03:12,1998-08-03T10:3,2,-,2,2,2,2,N,N,X,-,Guessing on split

80,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cannot say is actually a thing? Super weak if real

81,-,1998-08-07T11:00,,1998-08-08T02:19,1998-08-08T21:27,1998-08-09T17:53,-,3,-,2,2,2,-,N,N,X,-,Sheath hard to define. Not sure if mixed between end of leg and next case bc pretty smooth.

82,-,1998-08-10T00:31,,1998-08-10T13:30,1998-08-10T23:30,-,-,2,-,3,3,-,-,N,N,X,-,Turbulent FR. Hard to define back end of sheath.

83,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Cannot say is actually a thing? Super weak if real

84,-,1998-08-19T18:40,,1998-08-20T09:11,1998-08-21T19:18,-,-,1,-,1,2,-,-,N,N,-,-,Could have leg?

85,-,1998-08-26T06:51,,1998-08-27T05:38,1998-08-27T19:59,-,1998-08-28T00:45,1,-,2,3,-,2,Y,N,X,-,Suspicious of sheath length.

86,-,1998-09-23T01:12,,1998-09-23T04:00,1998-09-23T14:39,-,1998-09-23T17:51,3,-,2,3,-,2,N,N?,X,-,Weak case. V slightly evelated after.

87,-,1998-09-24T23:18,,1998-09-25T06:16,1998-09-25T21:12,1998-09-26T09:58,1998-09-26T16:28,1,-,1,2,2,2,N,N?,X,-,V slighlty elevated after.

88,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,GX,-,Is HSS?

89,-,1998-10-18T19:30,,1998-10-19T04:19,1998-10-19T14:51,1998-10-20T07:01,-,1,-,1,2,-,2,N,N,GX,-,Fairly clean case

90,-,1998-10-23T12:57,,1998-10-23T19:55,1998-10-24T19:02,-,-,1,-,1,3,-,-,N,N,X,-,Weak case. Could maybe split up FR.

91,-,1998-11-07T08:15,,1998-11-07T22:21,1998-11-08T04:41,-,1998-11-08T08:08,2,-,1,2,-,2,N,N,X,-,Mixed region starts at shock from next case 

92,93,1998-11-08T04:51,,1998-11-09T03:45,1998-11-10T01:48,-,1998-11-10T05:51,1,-,2,3,-,2,Y,N,-,-,Kink in B could be glancing of leg?

93,92,1998-11-13T02:00,,1998-11-13T04:30,1998-11-14T06:44,-,1998-11-14T10:15,3,-,2,3,-,3,N,N,G,W,Weak case. Hard to define especially with Wind gap

94,-,1998-11-30T05:06,,1998-11-30T10:08,1998-11-30T18:20,-,1998-12-01T04:00,2,-,2,3,-,3,N,N,X,-,Weak and turbulent. Guessing at back. Might be two FR.

95,-,1998-12-28T18:26,,1998-12-29T18:00,1998-12-31T02:00,-,-,3,-,3,3,-,-,N,N,X,AW,No ACE. Wind plasma missing near front of sheath. Not sure is thing

96,-,-,,1999-01-04T04:00,1999-01-04T22:00,-,-,-,-,3,3,-,-,N,N,-,-,Very weak. Mostly going off T drop

97,-,1999-01-13T10:54,,1999-01-13T16:05,1999-01-13T23:00,-,-,2,-,2,2,-,-,N,N,GX,W,Might have mixed region. Wind plasma has issues/gaps. Glancing encounter?

98,-,1999-01-22T20:24,,1999-01-23T09:35,1999-01-23T17:08,-,1999-01-23T14:38,1,-,2,3,-,3,N,N,X,-,Clear sheath but weak turbulent FR.

99,-,-,,1999-02-11T17:41,1999-02-12T03:35,-,-,-,-,2,2,-,-,N,N,GX,-,Weak case. Hard to be certain

100,-,-,,1999-02-13T19:00,1999-02-14T16:22,-,-,-,-,3,3,-,-,N,N,GX,-,Weak case.  Making guess based on T
101,102,-,,1999-02-16T15:40,1999-02-17T07:09,-,-,-,-,3,2,-,-,N,N,X,-,Weak case.  Making guess based on T. Interacts with next case.
102,101; 103,1999-02-17T07:09,,1999-02-17T12:23,1999-02-18T02:46,-,-,2,-,3,3,-,-,N,N,X,-,Weak case. Glancing blow. Interacts with prev and next. Might not be CME?
103,102; 104?,1999-02-18T02:48,,1999-02-18T12:56,1999-02-19T08:15,-,1999-02-19T12:18,2,-,2,2,-,3,N,N,X,-,Front of sheath could be back of prev? Think next is too far to interact? And weak if real
104,103?,-,,1999-02-19T23:49,1999-02-20T18:34,-,-,-,-,3,3,-,-,N,N,-,-,Fully based on low T. Maybe has sheath interacting with prev?
105,-,1999-03-10T01:30,,1999-03-10T18:18,1999-03-11T02:26,1999-03-12T02:00,-,2,-,3,3,-,-,N,N,GX,W,Wind gaps make very difficult to read back end. Guessing leg from ACE
106,-,1999-03-19T09:43,,1999-03-19T12:21,1999-03-20T06:09,-,-,3,-,2,3,-,-,N,N,X,W,No Wind plasma. Weak case
107,-,1999-04-16T11:25,,1999-04-16T18:00,1999-04-17T10:03,1999-04-17T17:36,1999-04-17T20:45,1,-,1,2,3,3,N,N,-,-,Big event with leg?
108,-,1999-04-20T16:00,,1999-04-21T04:53,1999-04-22T14:00,-,-,2,-,3,3,-,-,Y,N,X,W,No Wind plasma in FR. Weak FR so using T for back end
109,-,-,,1999-05-16T09:14,1999-05-18T00:38,-,-,-,-,3,1,-,-,N,Y,GX,-,Weak flank hit if anything. HSS behind
110,-,-,,1999-05-28T21:50,1999-05-29T22:08,-,-,-,-,1,3,-,-,N,N,-,-,Weak case. Hard to find end in turbulence.
111,-,1999-06-02T20:40,,1999-06-03T00:31,1999-06-03T12:59,1999-06-03T22:00,-,2,-,2,3,2,-,N,N,X,-,Guessing at leg. Could just be ugly 
112,-,1999-06-26T02:31,,1999-06-26T06:00,1999-06-26T19:25,-,-,1,-,2,2,-,-,N,Y,X,-,HSS behind. Could have mixed region on end?
113,114,1999-07-02T00:59,,1999-07-03T06:41,1999-07-05T13:57,-,1999-07-05T21:00,1,-,2,1,-,1,N,N,X,-,Not enough detail to split off leg portion. Interacts with next case
114,113; 115,-,,1999-07-05T21:00,1999-07-06T15:09,-,1999-07-06T18:38,-,-,1,1,-,1,N,N,X,-,Is probably a thing? Interacts on both sides. Mixed is shocked from next case
115,114; 116,1999-07-06T15:09,,1999-07-06T21:36,1999-07-07T06:00,1999-07-07T17:02,1999-07-08T03:42,1,-,2,3,1,3,N,N,X,-,Think has leg not two separate FR.  Interacts with before and after
116,115,1999-07-08T03:42,,1999-07-08T10:02,1999-07-08T22:11,-,-,2,-,3,3,-,-,N,N,-,-,Def a thing but hard to interpret. Interacts with before
117,-,1999-07-26T23:51,,1999-07-27T16:05,1999-07-29T09:56,-,-,3,-,3,3,-,-,N,N,X,-,Very weak. Might be nothing. FR bounds based on T
118,119,1999-07-30T19:12,,1999-07-31T02:02,1999-07-31T18:00,-,1999-07-31T20:22,3,-,3,2,-,3,Y?,N,X,-,Micro FR in sheath? Guessing not HSS based on smooth phi
119,118; 120,1999-07-31T20:22,,1999-08-01T04:14,1999-08-02T04:12,-,1999-08-02T11:00,3,-,2,2,-,2,N,N,-,-,Weak but pretty smooth. Interacts with prev and next cases
120,119,1999-08-02T11:00,,1999-08-02T15:36,1999-08-03T03:08,-,-,3,-,3,3,-,-,Y?,Y?,-,-,Very weak if a thing. Making guess based on T and B angles. HSS behind?
121,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,X,-,Think this is HSS
122,-,1999-08-08T17:44,,1999-08-09T10:19,1999-08-10T10:45,-,1999-08-10T16:15,2,-,1,3,-,2,N,N,X,-,Could maybe split into leg
123,-,1999-08-12T04:59,,1999-08-12T18:44,1999-08-14T00:00,-,-,3,-,3,3,-,-,N,N,X,-,Very weak but low T so probably something
124,-,-,,1999-08-21T15:18,1999-08-22T22:23,-,1999-08-23T10:40,-,-,3,3,-,3,-,Y,X,-,In tail of HSS. No sheath bc moving slower than SW?
125,-,1999-09-15T07:44,,1999-09-15T08:40,1999-09-15T17:30,-,-,1,-,2,3,-,-,N,N,X,-,Weak and turbulent.
126,127,1999-09-21T12:00,,1999-09-21T20:25,1999-09-22T05:06,1999-09-22T11:31,1999-09-22T12:09,3,-,2,2,3,2,N,N,X,-,Guessing at leg. Interacts with next case
127,126,1999-09-22T12:09,,1999-09-22T23:24,1999-09-23T09:35,1999-09-24T02:33,-,1,-,2,3,2,-,N,N,X,-,B pretty turbulent but more clear in T
128,-,1999-10-21T02:19,,1999-10-21T09:22,1999-10-22T03:19,-,1999-10-22T05:50,2,-,2,3,-,2,N,Y,X,-,HSS behind. Turbulent FR with compression in back?
129,130,-,,1999-11-12T19:00,1999-11-13T20:26,-,1999-11-13T20:26,-,-,3,2,-,2,N,N,X,W,Wind plasma gap in part. Weak glancing blow? Interacts with next case
130,129,1999-11-13T20:26,,1999-11-14T15:17,1999-11-16T07:17,-,-,2,-,3,3,-,-,N,N,GX,AW,Sus of Wind B. Very diff than ACE. ACE/Wind plasma gaps. End mega guess
131,132,1999-11-22T00:00,,1999-11-22T04:42,1999-11-22T14:13,1999-11-23T01:59,-,2,-,2,2,2,-,N,N,X,-,Weak sheath if any. Has leg?
132,131; 133,1999-11-23T01:59,,1999-11-23T06:52,1999-11-23T19:44,-,-,2,-,2,2,-,-,N,N,-,-,Weak but prob CME based on low T
133,132,1999-11-23T19:44,,1999-11-23T20:19,1999-11-24T07:39,-,-,2,-,2,2,-,-,N,N?,-,-,V slighlty elevated after?
134,135,1999-12-12T15:50,,1999-12-12T20:11,1999-12-13T14:42,-,1999-12-13T23:00,2,-,1,2,-,3,Y,N,X,W,Little B rotation but smooth. Mixed until next case? Wind plasma gap
135,134,1999-12-13T23:00,,1999-12-14T04:00,1999-12-14T19:31,-,-,3,-,2,1,-,-,M?,N,X,W,Wind plasma gap.
136,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,X,-,Cannot say this is a thing
137,-,1999-12-26T22:39,,1999-12-27T09:22,1999-12-27T19:43,1999-12-28T04:39,-,2,-,3,2,-,2,N,N,X,W,Wind plasma gap. Guessing smooth part is main FR then extended leg?
138,-,2000-01-22T00:23,,2000-01-22T17:00,2000-01-23T01:45,-,2000-01-23T03:48,2,-,3,-,2,2,N,N?,X,W,Wind plasma gap. Messy B but clear T signature. Slightly elevated v behind but too low for HSS?
139,140,2000-02-11T02:35,,2000-02-11T16:18,2000-02-11T23:31,-,2000-02-12T02:55,2,-,2,1,-,2,N,N,X,-,Weirdly smooth but turbulent region in sheath. Mixed region from shock from next case.
140,139,2000-02-11T23:31,,2000-02-12T12:20,2000-02-12T17:29,2000-02-13T00:36,-,1,-,1,2,2,-,N,N,-,-,Interacts with prev case
141,-,2000-02-14T07:11,,2000-02-14T14:13,2000-02-15T08:00,2000-02-15T15:33,-,1,-,2,3,2,-,Y,N,-,~W,Mini Wind gap after. FR is messy. Split into multi or is just filament in middle?
142,-,2000-02-20T21:03,,2000-02-21T13:21,2000-02-22T02:15,2000-02-22T12:14,2000-02-22T14:46,1,-,3,3,2,3,Y,N,X,-,Sheath/FR boundary hard to ID from several options.
143,144,2000-03-01T01:58,,2000-03-01T03:34,2000-03-01T18:58,-,-,2,-,1,2,-,-,N,N,X,-,Flank encounter with little rot. Could split off leg? Interacts with next case.
144,143,2000-03-01T18:58 ,,2000-03-01T20:16,2000-03-02T03:05,-,2000-03-02T05:13,1,-,1,1,-,2,N,N,-,-,Small but pretty straightforward
145,146,2000-03-18T22:00 ,,2000-03-19T02:00,2000-03-19T12:17,-,2000-03-19T15:40,3,-,2,2,-,3,N,N,X,-,Close enough to interact with next?
146,145,2000-03-19T15:40,,2000-03-19T17:49,2000-03-20T05:35,-,-,3,-,3,3,-,-,N,N,X,-,Combined two small questionable Dreams cases into one large questionable one
147,148,2000-03-28T02:52,,2000-03-28T11:16,2000-03-29T11:00,-,2000-03-29T19:00,2,-,2,2,-,2,N,N,X,-,Mixed is shock from next case
148,147; 149?,2000-03-29T11:00,,2000-03-29T23:44,2000-03-30T14:35,-,-,2,-,1,3,-,-,N,N,X,-,Not sure next is separate FR or just continuation with junk in middle???
149,148?,2000-03-30T14:35,,2000-03-31T03:09,2000-03-31T23:00,-,2000-04-01T11:17,2,-,1,2,-,2,N,N,X,-,Sheath could be ext of prev case and FR leg? Tho some rot?
150,-,2000-04-06T16:39,,2000-04-07T09:11,2000-04-07T23:21,-,2000-04-08T06:00,2,-,3,2,-,2,N,N?,X,-,B pretty weak but T signature. SW elevated behind. Might be embedded in HSS?
151,152,-,,2000-04-18T20:33,2000-04-19T02:20,-,2000-04-19T05:24,-,-,1,2,-,2,N,N,X,-,Maybe sheath? Mixed region until next case
152,151,-,,2000-04-19T05:24,2000-04-19T12:00,-,2000-04-19T15:00,-,-,2,2,-,3,N,Y?,-,-,Small HSS behind? But far enough away?
153,-,2000-04-24T03:31,,2000-04-24T04:26,2000-04-24T09:12,2000-04-24T13:39,-,3,-,1,2,2,-,N,M?,X,-,SW a little elevated behind. Might be HSS? Calling 2nd part of FR leg but higher B/v?
154,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,X,W,Wind gap in front half. Might be HSS not CME? Super ugly and long but T is lower.
155,-,-,,2000-05-07T03:53,2000-05-08T11:59,-,-,-,-,3,3,-,-,N,N,-,-,Literally no clue on this. Running with Wind. Glancing blow/leg hit?
156,-,2000-05-13T05:25,,2000-05-13T17:00,2000-05-14T13:27,-,2000-05-14T18:00,2,-,2,2,-,2,M?,N,X,-,Should maybe split off leg? Not sure on kink in middle. Almost n enhancement
157,-,-,,2000-05-15T19:00,2000-05-16T14:00,-,-,-,-,3,3,-,-,B,N,X,-,B signature is super ugly. Using T and running with RC. n enhancement in back. Could be nothing.
158,-,2000-05-16T23:00,,2000-05-17T00:00,2000-05-17T04:12,-,-,3,-,3,3,-,-,N,N,X,-,Very weak case. Completely guessing.
159,160?,2000-05-22T17:00,,2000-05-23T07:28,2000-05-23T17:15,-,2000-05-23T21:00,2,-,3,2,-,2,N,N,X,W,Mixed until next case. Weak signature and guessing
